Temp  Hum  Soil moist  Air quality  Light intense.
295 > 28.7      26.4      678      18.0      25.0
296 > 28.7      26.4      678      18.0      25.0
297 > 28.7      26.4      679      18.0      25.83
298 > 28.7      26.4      677      18.0      25.83
299 > 28.7      26.4      679      18.0      25.0
300 > 28.7      26.4      679      18.0      25.83
301 > 28.7      26.4      678      18.0      25.83
302 > 28.7      26.4      679      18.0      25.0
303 > 28.7      26.4      678      18.0      25.83
304 > 28.7      26.4      678      18.0      25.83
Temp  Hum  Soil moist  Air quality  Light intense.
305 > 28.7      26.4      680      18.0      25.83
306 > 28.7      26.4      679      18.0      25.83
307 > 28.7      26.4      678      18.0      25.0
308 > 28.7      26.4      678      18.0      25.0
309 > 28.7      26.4      679      18.0      25.83
310 > 28.7      26.4      679      18.0      25.0
311 > 28.7      26.4      677      18.0      25.83
312 > 28.7      26.4      680      18.0      25.83
313 > 28.7      26.5      680      18.0      25.83
314 > 28.7      26.5      678      18.0      25.0
315 > 28.7      26.4      678      18.0      25.0
316 > 28.7      26.4      679      18.0      25.0
317 > 28.7      26.4      679      18.0      25.83
318 > 28.7      26.3      678      18.0      25.0
Temp  Hum  Soil moist  Air quality  Light intense.
Temp  Hum  Soil moist  Air quality  Light intense.
319 > 28.7      26.3      680      18.0      25.0
319 > 28.7      26.4      678      18.0      25.83
Temp  Hum  Soil moist  Air quality  Light intense.
320 > 28.8      26.3      679      18.0      25.0
Temp  Hum  Soil moist  Air quality  Light intense.
321 > 28.8      26.2      680      18.0      25.0
322 > 28.8      26.3      678      18.0      25.83
323 > 28.8      26.2      678      18.0      25.83
324 > 28.8      26.2      679      18.0      25.0
325 > 28.8      26.3      679      18.0      25.0
326 > 28.8      26.3      678      18.0      25.83
327 > 28.8      26.3      679      18.0      25.83
328 > 28.8      26.3      679      18.0      25.83
329 > 28.8      26.2      678      18.0      25.83
330 > 28.8      26.2      679      18.0      25.83
331 > 28.8      26.2      679      18.0      25.83
332 > 28.8      26.2      678      18.0      25.83
333 > 28.8      26.2      678      18.0      25.83
334 > 28.8      26.2      679      18.0      24.17
335 > 28.8      26.2      678      18.0      25.0
336 > 28.8      26.1      677      18.0      1234.17
337 > 28.8      26.2      680      18.0      2152.5
338 > 28.8      26.2      678      18.0      25.0
339 > 28.8      26.2      679      18.0      24.17
340 > 28.8      26.2      678      18.0      25.0
341 > 28.8      26.1      678      18.0      25.0
342 > 28.8      26.1      679      18.0      25.0
343 > 28.8      26.1      680      18.0      24.17
344 > 28.8      26.1      678      18.0      25.0
345 > 28.8      26.1      679      18.0      25.0
346 > 28.8      26.1      678      18.0      25.0
347 > 28.8      26.1      679      18.0      25.0
348 > 28.8      26.1      679      18.0      25.0
349 > 28.8      26.1      679      18.0      24.17
350 > 28.8      26.1      679      18.0      25.0
351 > 28.8      26.1      679      18.0      25.83
352 > 28.8      26.1      680      18.0      25.0
353 > 28.8      26.1      679      18.0      25.0
354 > 28.8      26.1      679      18.0      25.0
355 > 28.8      26.1      680      18.0      25.83
356 > 28.8      26.1      679      18.0      25.0
357 > 28.8      26.2      680      18.0      25.0
358 > 28.8      26.1      679      18.0      25.83
359 > 28.8      26.1      680      18.0      25.0
360 > 28.8      26.0      679      18.0      25.0
361 > 28.8      26.0      680      18.0      25.0
362 > 28.8      26.0      678      18.0      25.0
363 > 28.8      26.0      679      18.0      25.0
364 > 28.8      26.0      680      18.0      25.0
365 > 28.8      26.0      679      18.0      25.0
366 > 28.8      26.0      680      18.0      25.0
367 > 28.8      25.9      680      18.0      25.0
368 > 28.8      26.0      678      18.0      25.0
369 > 28.8      26.0      680      18.0      25.0
370 > 28.8      26.0      679      18.0      25.0
371 > 28.8      26.0      679      18.0      25.0
372 > 28.8      26.0      679      18.0      25.0
373 > 28.8      26.0      680      18.0      25.0
374 > 28.8      25.9      679      18.0      25.0
375 > 28.8      25.9      680      18.0      25.83
376 > 28.8      25.9      680      18.0      25.0
377 > 28.8      25.9      679      18.0      25.0
378 > 28.8      25.9      679      18.0      25.83
379 > 28.8      25.9      679      18.0      25.0
380 > 28.8      25.9      679      18.0      25.0
381 > 28.8      26.0      679      18.0      25.0
382 > 28.8      26.0      679      18.0      25.0
383 > 28.8      26.0      677      18.0      25.0
384 > 28.8      25.9      678      18.0      25.0
385 > 28.8      25.9      678      18.0      25.0
386 > 28.8      25.9      679      18.0      25.0
387 > 28.8      26.0      679      18.0      25.0
388 > 28.8      26.0      677      18.0      25.0
389 > 28.8      26.0      679      18.0      25.0
390 > 28.8      26.1      679      18.0      25.0
391 > 28.8      26.1      680      18.0      25.0
392 > 28.8      26.1      678      18.0      25.0
393 > 28.8      26.1      678      18.0      25.0
394 > 28.8      26.1      679      18.0      25.0
395 > 28.8      26.0      680      18.0      25.0
396 > 28.8      26.0      680      18.0      25.0
